Rk,Name,Tm,Lg,PA,HR,RBI,SB,BA,OPS,G,GS,Rtot,Pos Summary,rOBA,WAR,MVP
,,,,,,,,,,56,55,6,OF,,-0.1,0
,,,,,,,,,,12,5,-1,SS-OF-2B-3B,,-0.7,0
,,,,,,,,,,18,0,,P,,-0.6,0
,,,,,,,,,,52,51,-5,OF,,0.6,0
,,,,,,,,,,5,4,0,2B-SS,,,0
,,,,,,,,,,4,2,,P,,0.1,0
,,,,,,,,,,2,0,,P,,0,0
,,,,,,,,,,12,0,,P,,1.1,0
,,,,,,,,,,1,0,,P,,,0
,,,,,,,,,,5,0,,P,,1.8,0
,,,,,,,,,,24,0,,P,,0,0
,,,,,,,,,,4,3,0,2B-OF,,,0
,,,,,,,,,,10,0,,P,,-0.3,0
,,,,,,,,,,21,0,,P,,-0.5,0
,,,,,,,,,,7,7,,P,,,0
,,,,,,,,,,29,0,,P,,,0
,,,,,,,,,,11,11,0,2B-SS-OF,,,0
,,,,,,,,,,40,38,7,SS-3B-1B,,,0
,,,,,,,,,,15,0,,P,,,0
,,,,,,,,,,2,0,,P,,,0
,,,,,,,,,,12,0,,P,,-0.3,0
,,,,,,,,,,3,0,,P,,,0
,,,,,,,,,,1,0,0,SS,,,0
,,,,,,,,,,37,37,1,C-1B,,,0
,,,,,,,,,,24,0,,P,,,0
,,,,,,,,,,23,0,,P,,-0.3,0
,,,,,,,,,,5,5,-1,OF,,1.5,0
,,,,,,,,,,44,37,-4,SS,,,0
,,,,,,,,,,51,51,-4,OF,,,0
,,,,,,,,,,4,0,,P,,,0
,,,,,,,,,,23,0,,P,,,0
,,,,,,,,,,7,1,,P,,0,0
,,,,,,,,,,27,18,0,OF-1B,,-0.2,0
,,,,,,,,,,5,0,,P,,,0
,,,,,,,,,,2,2,0,C,,,0
,,,,,,,,,,53,50,6,3B-OF-2B,,0,0
,,,,,,,,,,1,0,,P,,0.1,0
,,,,,,,,,,18,0,,P,,1.1,0
,,,,,,,,,,12,12,,P,,,0
,,,,,,,,,,17,0,,P,,0,0
,,,,,,,,,,4,4,,P,,,0
,,,,,,,,,,2,0,,P,,0.7,0
,,,,,,,,,,5,4,-1,C,,0,0
,,,,,,,,,,11,11,,P,,0.1,0
,,,,,,,,,,41,38,-3,C,,0.8,0
,,,,,,,,,,10,8,-1,OF,,,0
,,,,,,,,,,3,0,,P,,,0
,,,,,,,,,,7,7,,P,,,0
,,,,,,,,,,9,6,0,3B-SS-2B-P,,,0
,,,,,,,,,,13,8,-1,1B-3B,,,0
,,,,,,,,,,9,6,,P,,,0
,,,,,,,,,,52,52,1,1B,,-0.1,0
,,,,,,,,,,60,60,0,1B,,,0
,,,,,,,,,,13,13,3,1B-OF,,-0.3,0
,,,,,,,,,,12,0,,P,,-0.5,0
,,,,,,,,,,23,23,5,OF,,,0
,,,,,,,,,,36,36,6,OF,,,0
,,,,,,,,,,3,1,,P,,0.3,0
,,,,,,,,,,4,0,,P,,-0.5,0
,,,,,,,,,,1,0,0,OF,,,0
,,,,,,,,,,12,12,,P,,-0.1,0
,,,,,,,,,,3,1,,P,,1.1,0
,,,,,,,,,,44,44,6,2B,,-0.1,0
,,,,,,,,,,15,0,,P,,,0
,,,,,,,,,,7,4,-1,2B-3B-P,,-0.3,0
,,,,,,,,,,48,48,1,OF,,1.6,0
,,,,,,,,,,25,0,,P,,,0
,,,,,,,,,,20,0,,P,,,0
,,,,,,,,,,43,43,2,SS,,0,0
,,,,,,,,,,53,53,-4,3B,,,0
,,,,,,,,,,53,53,4,2B-3B-SS,,,0
,,,,,,,,,,24,0,,P,,1.3,0
,,,,,,,,,,53,53,-2,SS,,,0
,,,,,,,,,,12,12,,P,,0,0
,,,,,,,,,,23,20,-2,OF,,0.1,0
,,,,,,,,,,35,32,0,C,,,0
,,,,,,,,,,5,0,,P,,,0
,,,,,,,,,,5,0,,P,,2.1,0
,,,,,,,,,,4,0,,P,,1.1,0
,,,,,,,,,,6,0,,P,,1.2,0
,,,,,,,,,,46,40,4,3B-1B,,,0
,,,,,,,,,,10,10,,P,,0.4,0
,,,,,,,,,,10,0,,P,,,0
,,,,,,,,,,6,6,,P,,-0.3,0
,,,,,,,,,,17,0,,P,,0.9,0
,,,,,,,,,,17,13,2,OF,,,0
,,,,,,,,,,30,30,1,SS,,,0
,,,,,,,,,,20,0,,P,,,0
,,,,,,,,,,12,12,,P,,,0
,,,,,,,,,,26,22,-3,C,,0.2,0
,,,,,,,,,,8,7,,P,,,0
,,,,,,,,,,12,10,3,OF,,,0
,,,,,,,,,,11,1,,P,,,0
,,,,,,,,,,7,1,,P,,,0
,,,,,,,,,,6,0,,P,,0.4,0
,,,,,,,,,,5,4,,P,,0.5,0
,,,,,,,,,,44,43,-12,1B-OF,,,0
,,,,,,,,,,8,0,,P,,,0
,,,,,,,,,,16,14,0,OF,,0.2,0
,,,,,,,,,,16,1,,P,,,0
,,,,,,,,,,2,0,,P,,1,0
,,,,,,,,,,16,8,1,C,,,0
,,,,,,,,,,14,13,-3,OF,,,0
,,,,,,,,,,10,9,-1,1B-OF,,,0
,,,,,,,,,,6,0,,P,,,0
,,,,,,,,,,18,0,,P,,2,0
,,,,,,,,,,34,31,-1,C,,,0
,,,,,,,,,,31,27,-2,1B,,-0.5,0
,,,,,,,,,,7,5,,P,,,0
,,,,,,,,,,18,0,,P,,,0
,,,,,,,,,,11,11,,P,,0.3,0
,,,,,,,,,,4,0,,P,,-0.5,0
,,,,,,,,,,39,28,4,3B-SS-2B-OF,,0.2,0
,,,,,,,,,,52,52,-8,OF-2B-1B,,,0
,,,,,,,,,,52,46,-5,2B-3B-SS,,,0
,,,,,,,,,,8,8,0,OF,,1.4,0
,,,,,,,,,,22,0,,P,,-0.7,0
,,,,,,,,,,3,3,,P,,,0
,,,,,,,,,,3,2,1,SS-2B,,,0
,,,,,,,,,,27,0,,P,,,0
,,,,,,,,,,42,42,-6,OF,,,0
,,,,,,,,,,9,7,-1,OF,,-0.3,0
,,,,,,,,,,4,0,,P,,-1,0
,,,,,,,,,,8,0,,P,,1.5,0
,,,,,,,,,,47,46,4,OF,,0.3,0
,,,,,,,,,,16,0,,P,,,0
,,,,,,,,,,42,40,2,C,,,0
,,,,,,,,,,24,0,,P,,0.1,0
,,,,,,,,,,9,0,,P,,,0
,,,,,,,,,,31,16,-5,OF,,2.4,0
,,,,,,,,,,11,0,,P,,0,0
,,,,,,,,,,31,26,-1,C,,,0
,,,,,,,,,,26,0,,P,,,0
,,,,,,,,,,10,0,,P,,2.2,0
,,,,,,,,,,4,2,0,C,,,0
,,,,,,,,,,14,12,1,OF,,1,0
,,,,,,,,,,32,30,4,OF,,,0
,,,,,,,,,,30,30,0,OF,,,0
,,,,,,,,,,2,2,,P,,0.6,0
,,,,,,,,,,10,0,,P,,-0.7,0
,,,,,,,,,,57,57,2,SS,,,0
,,,,,,,,,,19,0,,P,,1,0
,,,,,,,,,,28,22,2,OF-2B-SS,,,0
,,,,,,,,,,2,2,,P,,,0
,,,,,,,,,,27,0,,P,,0.3,0
,,,,,,,,,,28,19,-1,OF-SS,,0.9,0
,,,,,,,,,,4,0,,P,,-0.7,0
,,,,,,,,,,12,9,,P,,0.6,0
,,,,,,,,,,4,0,,P,,,0
,,,,,,,,,,11,1,1,C-OF,,,0
,,,,,,,,,,6,0,,P,,2.6,0
,,,,,,,,,,57,57,-1,3B,,0,0
,,,,,,,,,,2,2,,P,,-0.5,0
,,,,,,,,,,3,0,,P,,,0
,,,,,,,,,,22,0,,P,,,0
,,,,,,,,,,19,0,,P,,-0.4,0
,,,,,,,,,,1,1,0,C,,,0
,,,,,,,,,,16,4,,P,,,0
,,,,,,,,,,30,30,-3,C,,,0
,,,,,,,,,,60,60,7,SS,,-0.2,0
,,,,,,,,,,9,0,,P,,,0
,,,,,,,,,,10,10,,P,,0.6,0
,,,,,,,,,,5,0,,P,,,0
,,,,,,,,,,38,38,1,OF,,,0
,,,,,,,,,,12,0,,P,,,0
,,,,,,,,,,12,0,,P,,,0
,,,,,,,,,,57,57,-4,SS,,0,0
,,,,,,,,,,41,27,-3,OF,,,0
,,,,,,,,,,33,32,3,OF,,0.2,0
,,,,,,,,,,7,7,1,C,,2.8,0
,,,,,,,,,,22,0,,P,,,0
,,,,,,,,,,50,45,6,OF-SS-2B,,,0
,,,,,,,,,,8,0,,P,,,0
,,,,,,,,,,35,23,-1,OF,,0.8,0
,,,,,,,,,,20,8,-2,OF,,,0
,,,,,,,,,,10,9,,P,,,0
,,,,,,,,,,22,20,1,SS-2B,,2.8,0
,,,,,,,,,,19,18,0,1B,,0,0
,,,,,,,,,,21,0,,P,,1.3,0
,,,,,,,,,,5,4,-3,1B-OF-2B-3B,,-0.2,0
,,,,,,,,,,27,24,1,1B,,,0
,,,,,,,,,,17,0,,P,,1.9,0
,,,,,,,,,,18,10,3,OF,,,0
,,,,,,,,,,25,1,,P,,-0.4,0
,,,,,,,,,,7,0,,P,,0.2,0
,,,,,,,,,,3,3,,P,,,0
,,,,,,,,,,7,1,,P,,0.4,0
,,,,,,,,,,6,0,,P,,0.6,0
,,,,,,,,,,17,5,,P,,,0
,,,,,,,,,,6,0,,P,,-0.4,0
,,,,,,,,,,18,13,0,3B-1B-2B,,-0.4,0
,,,,,,,,,,24,21,-2,C,,,0
,,,,,,,,,,40,40,-1,SS,,-0.2,0
,,,,,,,,,,4,3,0,SS-OF-2B,,,0
,,,,,,,,,,7,5,,P,,,0
,,,,,,,,,,27,0,,P,,,0
,,,,,,,,,,21,17,-1,C-1B,,,0
,,,,,,,,,,5,2,,P,,,0
,,,,,,,,,,20,0,,P,,,0
,,,,,,,,,,23,19,1,C,,,0
,,,,,,,,,,7,0,,P,,-0.6,0
,,,,,,,,,,52,52,-5,OF,,-0.1,0
,,,,,,,,,,26,23,-1,OF-3B,,0,0
,,,,,,,,,,30,28,-4,OF-2B,,-0.1,0
,,,,,,,,,,47,46,3,OF,,,0
,,,,,,,,,,25,0,,P,,,0
,,,,,,,,,,11,11,,P,,0.4,0
,,,,,,,,,,32,32,3,3B,,,0
,,,,,,,,,,59,59,-8,SS,,,0
,,,,,,,,,,17,0,,P,,-0.2,0
,,,,,,,,,,39,39,1,OF,,,0
,,,,,,,,,,5,5,,P,,1.8,0
,,,,,,,,,,11,10,,P,,0.3,0
,,,,,,,,,,41,31,5,3B-2B-SS,,-0.9,0
,,,,,,,,,,8,6,-3,SS-2B,,1.9,0
,,,,,,,,,,5,5,,P,,,0
,,,,,,,,,,43,42,2,3B,,,0
,,,,,,,,,,50,38,-1,SS-2B-1B-3B-OF,,1.5,0
,,,,,,,,,,9,0,,P,,2.8,0
,,,,,,,,,,11,10,,P,,,0
,,,,,,,,,,24,0,,P,,-0.4,0
,,,,,,,,,,21,16,-3,2B-3B-1B,,,0
,,,,,,,,,,22,12,2,2B-1B-3B,,,0
,,,,,,,,,,28,24,4,OF-C,,0.1,0
,,,,,,,,,,43,41,0,C-2B,,0.1,0
,,,,,,,,,,9,7,,P,,,0
,,,,,,,,,,38,22,4,SS-OF-2B,,2,0
,,,,,,,,,,3,0,,P,,0.4,0
,,,,,,,,,,50,49,0,OF,,0,0
,,,,,,,,,,1,1,,P,,,0
,,,,,,,,,,5,0,,P,,,0
,,,,,,,,,,45,43,-5,2B-SS-OF,,0.1,0
,,,,,,,,,,15,7,-2,C,,-0.5,0
,,,,,,,,,,21,0,,P,,0.1,0
,,,,,,,,,,2,2,0,1B,,0.9,0
,,,,,,,,,,24,20,0,C-1B,,,0
,,,,,,,,,,48,47,-2,1B,,0.2,0
,,,,,,,,,,7,0,,P,,,0
,,,,,,,,,,11,11,,P,,2.1,0
,,,,,,,,,,50,49,-1,1B,,,0
,,,,,,,,,,8,7,,P,,,0
,,,,,,,,,,2,0,,P,,-0.1,0
,,,,,,,,,,12,11,-1,OF-1B,,-0.2,0
,,,,,,,,,,49,29,1,SS-2B,,,0
,,,,,,,,,,11,0,,P,,-0.1,0
,,,,,,,,,,3,0,,P,,0,0
,,,,,,,,,,10,10,,P,,1.7,0
,,,,,,,,,,15,0,,P,,,0
,,,,,,,,,,43,42,-2,1B,,,0
,,,,,,,,,,14,7,-1,2B-1B-3B-OF-P,,0,0
,,,,,,,,,,11,11,,P,,,0
,,,,,,,,,,15,13,2,C,,,0
,,,,,,,,,,30,24,-1,1B-OF,,0,0
,,,,,,,,,,5,4,0,SS-2B,,0.7,0
,,,,,,,,,,34,24,1,OF-1B,,,0
,,,,,,,,,,21,0,,P,,,0
,,,,,,,,,,12,12,,P,,,0
,,,,,,,,,,8,0,,P,,0,0
,,,,,,,,,,13,11,,P,,0.8,0
,,,,,,,,,,21,0,,P,,-0.1,0
,,,,,,,,,,17,5,,P,,,0
,,,,,,,,,,9,0,,P,,0.2,0
,,,,,,,,,,1,0,,P,,0.7,0
,,,,,,,,,,21,0,,P,,-0.1,0
,,,,,,,,,,50,45,3,3B-2B-SS,,0.1,0
,,,,,,,,,,11,11,,P,,,0
,,,,,,,,,,17,15,-1,OF,,,0
,,,,,,,,,,54,52,5,1B,,,0
,,,,,,,,,,2,0,,P,,,0
,,,,,,,,,,2,0,1,OF,,,0
,,,,,,,,,,4,0,,P,,,0
,,,,,,,,,,19,0,,P,,,0
,,,,,,,,,,12,0,,P,,,0
,,,,,,,,,,1,0,,P,,,0
,,,,,,,,,,18,12,-1,C,,1.4,0
,,,,,,,,,,22,0,,P,,,0
,,,,,,,,,,2,2,1,OF,,-0.3,0
,,,,,,,,,,9,4,0,OF,,0.1,0
,,,,,,,,,,15,0,,P,,,0
,,,,,,,,,,11,11,,P,,0.1,0
,,,,,,,,,,6,2,,P,,,0
,,,,,,,,,,23,0,,P,,0,0
,,,,,,,,,,16,13,2,OF,,,0
,,,,,,,,,,18,0,,P,,,0
,,,,,,,,,,2,0,0,1B,,0,0
,,,,,,,,,,18,4,,P,,,0
,,,,,,,,,,25,0,,P,,0,0
,,,,,,,,,,10,7,,P,,-0.3,0
,,,,,,,,,,42,35,-3,C-2B,,0,0
,,,,,,,,,,53,48,7,2B,,,0
,,,,,,,,,,9,2,,P,,,0
,,,,,,,,,,12,1,,P,,,0
,,,,,,,,,,13,13,,P,,1.3,0
,,,,,,,,,,21,0,,P,,0,0
,,,,,,,,,,8,8,,P,,-0.1,0
,,,,,,,,,,2,1,,P,,,0
,,,,,,,,,,3,0,,P,,,0
,,,,,,,,,,17,0,,P,,,0
,,,,,,,,,,4,3,,P,,-0.3,0
,,,,,,,,,,11,9,,P,,1.3,0
,,,,,,,,,,24,0,,P,,,0
,,,,,,,,,,53,52,1,OF,,0,0
,,,,,,,,,,6,0,,P,,,0
,,,,,,,,,,51,51,-10,OF,,,0
,,,,,,,,,,9,5,,P,,,0
,,,,,,,,,,15,7,,P,,,0
,,,,,,,,,,6,4,-2,3B-2B-OF,,,0
,,,,,,,,,,3,1,,P,,,0
,,,,,,,,,,20,13,-5,OF,,,0
,,,,,,,,,,16,1,,P,,,0
,,,,,,,,,,2,1,,P,,,0
,,,,,,,,,,3,2,,P,,2.7,0
,,,,,,,,,,23,0,,P,,,0
,,,,,,,,,,28,25,-3,C,,0.5,0
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,-0.1,0
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,0.1,0
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,-0.1,0
