,Last Name,First Name,Rk,Tm,Lg,PA,HR,RBI,SB,BA,OPS,rOBA,WAR,G,GS,Rtot,Pos,MVP
942,Sheffield,Gary,1096,NYY,AL,684,36,121,5,0.29,0.927,0.401,4.2,136,136,-11,OF-3B,0
962,Soriano,Alfonso,1118,TEX,AL,658,28,91,18,0.28,0.807,0.354,2,142,142,-20,2B,0
964,Sosa,Sammy,1120,CHC,NL,539,35,80,0,0.253,0.849,0.37,1.3,124,124,6,OF,0
984,Suzuki,Ichiro,1143,SEA,AL,762,8,60,36,0.372,0.869,0.398,9.2,158,158,27,OF,0
997,Teixeira,Mark,1156,TEX,AL,625,38,112,4,0.281,0.929,0.403,4.6,143,142,7,1B-OF,0
998,Tejada,Miguel,1157,BAL,AL,725,34,150,4,0.311,0.894,0.397,7.4,162,162,2,SS,0
1005,Thome,Jim,1165,PHI,NL,618,42,105,0,0.274,0.977,0.401,3.2,134,134,3,1B,0
1021,Tracy,Chad,1181,ARI,NL,532,8,53,2,0.285,0.75,0.329,1.8,138,122,6,3B-1B-OF,0
1026,Tucker,Michael,1185,SFG,NL,547,13,62,5,0.256,0.765,0.343,0,124,114,-1,OF,0
1030,Uribe,Juan,1190,CHW,AL,553,23,74,9,0.283,0.833,0.356,4,130,121,4,2B-SS-3B,0
1037,Valentin,Jose,1199,CHW,AL,504,30,70,8,0.216,0.76,0.321,1.8,122,117,9,SS,0
1044,Varitek,Jason,1206,BOS,AL,536,18,73,10,0.296,0.872,0.384,4,130,121,3,C,0
1055,Vizquel,Omar,1218,CLE,AL,651,7,59,19,0.291,0.741,0.347,4,147,141,-1,SS,0
1076,Wells,Vernon,1244,TOR,AL,590,23,67,9,0.272,0.809,0.36,4.5,131,130,-6,OF,0
1086,Wigginton,Ty,1256,TOT,NL,545,17,66,7,0.261,0.757,0.339,0.5,141,131,-7,3B-2B-1B,0
1087,Wilkerson,Brad,1259,MON,NL,688,32,67,13,0.255,0.872,0.379,5,157,154,14,1B-OF,0
1096,Wilson,Craig,1268,PIT,NL,644,29,82,2,0.264,0.853,0.377,1.2,151,148,-16,OF-1B-C,0
1098,Wilson,Jack,1271,PIT,NL,693,11,59,8,0.308,0.794,0.351,4.8,156,155,8,SS,0
1104,Winn,Randy,1278,SEA,AL,703,14,81,21,0.286,0.772,0.349,4.3,154,151,-1,OF,0
1109,Womack,Tony,1283,STL,NL,606,5,38,26,0.307,0.735,0.339,3.3,133,125,12,2B,0
1124,Young,Michael,1300,TEX,AL,739,22,99,12,0.313,0.836,0.369,1.9,158,158,-25,SS,0
