Rk,Name,Tm,Lg,PA,HR,RBI,SB,BA,OPS,G,GS,Rtot,Pos Summary,rOBA,WAR
1246,Troy Tulowitzki,COL,NL,628,32,92,20,0.297,0.93,11,10,-4,2B-OF,,0
1247,Justin Turner,BAL,AL,22,0,3,0,0.167,0.485,134,134,-7,3B,,0.1
1248,Koji Uehara,BAL,AL,3,0,0,0,0,0.333,28,28,,P,,0
1249,Dan Uggla,FLA,NL,668,31,90,2,0.243,0.813,83,74,1,C,,
1250,B.J. Upton,TBR,AL,626,11,55,42,0.241,0.686,49,0,,P,,0
1251,Justin Upton,ARI,NL,588,26,86,20,0.3,0.899,69,0,,P,,6.6
1252,Juan Uribe,SFG,NL,432,16,55,3,0.289,0.824,154,153,4,3B,,0.3
1253,Chase Utley*,PHI,NL,687,31,93,23,0.282,0.905,16,16,,P,,0
1254,Luis Valbuena*,CLE,AL,398,10,31,2,0.25,0.714,33,33,,P,,-0.6
1255,Merkin Valdez,SFG,NL,0,0,0,0,,,149,134,12,2B-OF-SS-1B-3B,,-0.5
1256,Wilson Valdez,NYM,NL,95,0,7,0,0.256,0.664,28,0,,P,,-0.4
1257,Jose Valverde,HOU,NL,0,0,0,0,,,,,,,,2.8
1258,Rick van den Hurk,FLA,NL,22,0,0,0,0,0,,,,,,0.6
1259,Jonathan Van Every*,BOS,AL,13,1,3,0,0.364,1.098,,,,,,1.2
1260,Claudio Vargas,TOT,NL,0,0,0,0,,,,,,,,0
1261,Claudio Vargas,LAD,NL,0,0,0,0,,,,,,,,0
1262,Claudio Vargas,MIL,NL,0,0,0,0,,,,,,,,7.3
1263,Jason Vargas*,SEA,AL,4,0,0,0,0.25,0.5,,,,,,0.1
1264,Jason Varitek#,BOS,AL,425,14,51,0,0.209,0.703,,,,,,-0.1
1265,Esmerling Vasquez,ARI,NL,0,0,0,0,,,,,,,,8.6
1266,Virgil Vasquez,PIT,NL,11,0,0,0,0,0,,,,,,0
1267,Javier Vazquez,ATL,NL,91,0,3,0,0.176,0.432,,,,,,
1268,Ramón Vázquez*,PIT,NL,239,1,16,1,0.23,0.614,,,,,,
1269,Donnie Veal*,PIT,NL,1,0,0,0,,,,,,,,
1270,Gil Velazquez,BOS,AL,3,0,0,0,0,0.333,,,,,,
1271,Eugenio Velez#,SFG,NL,307,5,31,11,0.267,0.708,,,,,,
1272,Will Venable*,SDP,NL,324,12,38,6,0.256,0.763,,,,,,
1273,Justin Verlander,DET,AL,4,0,0,0,0,0,,,,,,
1274,Shane Victorino,PHI,NL,694,10,62,25,0.292,0.803,,,,,,
1275,Carlos Villanueva,MIL,NL,13,0,0,0,0.091,0.258,,,,,,
1276,Ron Villone*,WSN,NL,0,0,0,0,,,,,,,,
1277,Pedro Viola,CIN,NL,0,0,0,0,,,,,,,,
1278,Luis Vizcaino,TOT,MLB,0,0,0,0,,,,,,,,
1279,Luis Vizcaino,CHC,NL,0,0,0,0,,,,,,,,
1280,Luis Vizcaino,CLE,AL,0,0,0,0,,,,,,,,
1281,Omar Vizquel#,TEX,AL,195,1,14,4,0.266,0.66,,,,,,
1282,Edinson Volquez,CIN,NL,19,0,0,0,0.063,0.125,,,,,,
1283,Chris Volstad,FLA,NL,54,0,3,0,0.128,0.295,,,,,,
1284,Joey Votto*,CIN,NL,544,25,84,4,0.322,0.981,,,,,,
1285,Jason Waddell,CHC,NL,0,0,0,0,,,,,,,,
1286,Cory Wade,LAD,NL,2,0,0,0,0,0,,,,,,
1287,Billy Wagner*,TOT,MLB,0,0,0,0,,,,,,,,
1288,Billy Wagner*,NYM,NL,0,0,0,0,,,,,,,,
1289,Adam Wainwright,STL,NL,96,2,4,0,0.18,0.515,,,,,,
1290,Tim Wakefield,BOS,AL,2,0,0,0,0.5,1,,,,,,
1291,Jamie Walker*,BAL,AL,0,0,0,0,,,,,,,,
1292,Neil Walker#,PIT,NL,40,0,0,1,0.194,0.497,,,,,,
1293,Tyler Walker,PHI,NL,1,0,0,0,,,,,,,,
1294,P.J. Walters,STL,NL,5,0,0,0,0,0,,,,,,
